amount,denom,address
1000000000,uvty,verity1yk2uppcuu8l4wj4jf27npzl9mzqquy8lvegv8k4ngv725s4jw5uh9vqtsr9qqwktvafjcv9n7tdzrfpc9pynzl64829zrtlca3k3agvmrrcl2cn0qk4rlhfflav9gqp9w447as
1000,test_vty,verity1yk2uppcuu8l4wj4jf27npzl9mzqquy8lvegv8k4ngv725s4jw5uh9vqtsr9qqwktvafjcv9n7tdzrfpc9pynzl64829zrtlca3k3agvmrrcl2cn0qk4rlhfflav9gqp9w447as
1000000000,uvty,verity1yk6slfk5q8v6qucd4kqw068hl4ddw6pctlxurp8fev3f3dz4lxm0jeekmeftmu4tzstsn8tl0kp3zl9gsgtj7skswtkt509mzzhm202886vd8p4lq5tfz5eveqfetuywz5pde6
1000,test_vty,verity1yk6slfk5q8v6qucd4kqw068hl4ddw6pctlxurp8fev3f3dz4lxm0jeekmeftmu4tzstsn8tl0kp3zl9gsgtj7skswtkt509mzzhm202886vd8p4lq5tfz5eveqfetuywz5pde6
1000000000,uvty,verity1yk84a80ednep66skje0xg9023sn3tmyezg5lk0laxnlpyew39myx7f9m7xhyce0qawglnumjj32cp8qvqhwzn5jesnjcmpc0ztm3trzwjs8g2tdesxm4zcjjquj2e9vl495ly3
1000,test_vty,verity1yk84a80ednep66skje0xg9023sn3tmyezg5lk0laxnlpyew39myx7f9m7xhyce0qawglnumjj32cp8qvqhwzn5jesnjcmpc0ztm3trzwjs8g2tdesxm4zcjjquj2e9vl495ly3
1000000000,uvty,verity1ykf5c5sx4kqkdnkrzvsd505585z0yef2xyxg8xwtu7cq0tlhp6xc6v8atnqzj9ssf0uwrdt4039n0hwjfegryxx2s0ews5sj3pzfxdar5tavha009r32v47qxgacl6nnkpcwhw
1000,test_vty,verity1ykf5c5sx4kqkdnkrzvsd505585z0yef2xyxg8xwtu7cq0tlhp6xc6v8atnqzj9ssf0uwrdt4039n0hwjfegryxx2s0ews5sj3pzfxdar5tavha009r32v47qxgacl6nnkpcwhw
